CO_ENTIDADE;NO_ENTIDADE;NO_MUNICIPIO;SG_UF;ANO;QT_MAT_BAS_BRANCA;QT_MAT_BAS_PRETA;QT_MAT_BAS_PARDA;QT_MAT_BAS_AMARELA;QT_MAT_BAS_INDIGENA;QT_MAT_BAS_TOTAL;QT_MAT_BAS_FEM;QT_MAT_BAS_MASC;QT_MAT_BAS_ND
29024463;APAE ESCOLA MARIA ISABEL MESQUITA REIS;Juazeiro;BA;2007;1;1;21;0;0;23;79;118;174
29024498;CENTRO DE EDUCACAO SHALOM;Juazeiro;BA;2007;2;0;5;0;0;7;212;201;406
29024528;COLEGIO DEM ESTADUAL PROFª FLORENTINA A DOS SANTOS;Juazeiro;BA;2007;7;4;88;0;0;99;819;628;1348
29024536;COLEGIO ESTADUAL LOMANTO JUNIOR;Juazeiro;BA;2007;176;79;709;0;0;964;642;578;256
29024544;COLEGIO ANGLO;Juazeiro;BA;2007;1;0;1;0;0;2;107;150;255
29024552;COLEGIO DOUTOR EDSON RIBEIRO;Juazeiro;BA;2007;21;2;33;0;4;60;229;205;374
29024579;COLEGIO ESTADUAL RUI BARBOSA;Juazeiro;BA;2007;275;118;805;6;1;1205;1255;997;1047
29024587;COLEGIO MUNICIPAL PAULO VI;Juazeiro;BA;2007;96;65;504;1;0;666;936;905;1175
29024595;COLEGIO VALE DO SAO FRANCISCO;Juazeiro;BA;2007;1;0;4;0;0;5;149;159;303
29024641;ESCOLA AGROTECNICA DE JUAZEIRO;Juazeiro;BA;2007;17;14;859;0;1;891;596;656;361
29024650;ESCOLA MUNICIPAL CAXANGÁ;Juazeiro;BA;2007;5;35;41;5;0;86;114;124;152
29024668;ESCOLA MUNICIPAL CENTRO SOCIAL URBANO;Juazeiro;BA;2007;2;0;34;0;0;36;129;133;226
29024676;ESCOLA COMPANHIA DE NAVEGACAO DO SAO FRANCISCO;Juazeiro;BA;2007;1;1;29;0;0;31;78;79;126
29024692;ESCOLA MUNICIPAL PROFESSORA CARMEN COSTA SANTOS;Juazeiro;BA;2007;12;11;155;0;0;178;352;380;554
29024714;ESC ESTADUAL PR LUIS CURSINO DA F CARDOSO;Juazeiro;BA;2007;2;0;114;0;1;117;103;122;108
29024722;COLEGIO EST PEDRO RAYMUNDO MOREIRA REGO;Juazeiro;BA;2007;25;31;298;2;0;356;514;484;642
29024765;COLEGIO ESTADUAL ANTONILIO DA FRANCA CARDOSO;Juazeiro;BA;2007;35;6;115;1;0;157;442;401;686
29024803;ESC NORMAL ESTAD EDIVALDO MACHADO BOAVENTURA;Juazeiro;BA;2007;10;17;141;0;1;169;516;123;470
29024811;ESC SITIO PICA PAU AMARELO;Juazeiro;BA;2007;6;5;40;0;0;51;56;58;63
29024838;ESCOLA MUNICIPAL PROFESSORA GUIOMAR LUSTOSA RODRIGUES;Juazeiro;BA;2007;9;11;219;0;0;239;372;434;567
29024846;COLEGIO ESTADUAL AGOSTINHO MUNIZ;Juazeiro;BA;2007;31;9;289;1;4;334;545;508;719
29024862;ESCOLA CECILIO MATTOS;Juazeiro;BA;2007;71;51;215;0;0;337;661;632;956
29024900;ESCOLA MUNICIPAL PROFESSORA CRENILDES LUIZ BRANDAO;Juazeiro;BA;2007;9;1;61;0;0;71;116;138;183
29024927;ESCOLA ESTADUAL DE 1º GR DOM AVELAR BRANDAO VILELA;Juazeiro;BA;2007;10;7;71;1;1;90;515;489;914
29024935;ESCOLA MUNICIPAL DE 1º GRAU DOIS DE JULHO;Juazeiro;BA;2007;2;8;151;0;0;161;407;425;671
29024943;ESCOLA MUNICIPAL DE 1º GRAU PROFESSORA MARIA DE LOURDES DUARTE;Juazeiro;BA;2007;7;3;82;0;0;92;184;201;293
29024960;ESCOLA MUNICIPAL DE 1º GRAU PROFESSORA HAIDEE FONSECA FALCAO;Juazeiro;BA;2007;4;1;83;1;0;89;235;227;373
29024978;ESCOLA MUNICIPAL PROFESSORA LEOPOLDINA LEAL;Juazeiro;BA;2007;9;1;60;1;0;71;168;210;307
29024986;ESCOLA MUNICIPAL DE 1º GRAU PROFESSORA MARIA FRANCA PIRES;Juazeiro;BA;2007;60;35;207;0;1;303;238;391;326
29024994;ESCOLA MUNICIPAL DE 1º GRAU QUINZE DE JULHO;Juazeiro;BA;2007;4;6;138;0;0;148;310;304;466
29025001;COLEGIO ESTADUAL ROTARY CLUBE;Juazeiro;BA;2007;4;4;146;2;0;156;353;351;548
29025010;ESCOLA MUNICIPAL SANTO ANTONIO;Juazeiro;BA;2007;0;0;81;0;0;81;296;316;531
29025028;COLÉGIO DA POLICIA MILITAR ALFREDO VIANNA;Juazeiro;BA;2007;54;42;251;3;1;351;545;553;747
29025036;ESCOLA MUNICIPAL PROFª DINORAH ALBERNAZ MELLO DA SILVA;Juazeiro;BA;2007;7;7;223;0;0;237;547;549;859
29025052;COLEGIO ESTADUAL HILDETE LOMANTO;Juazeiro;BA;2007;13;11;125;0;0;149;495;494;840
29025060;COLEGIO ESTADUAL JUTAHY MAGALHAES;Juazeiro;BA;2007;10;13;55;0;0;78;515;454;891
29025079;ESC EST DE1º E 2º GRAUS PEDRO RAIMUNDO R. REGO;Juazeiro;BA;2007;147;1;73;1;12;234;555;609;930
29025087;COLEGIO ESTADUAL HELENA CELESTINO MAGALHAES;Juazeiro;BA;2007;14;15;291;1;0;321;929;803;1411
29025117;COLÉGIO ESTADUAL DONA GUIOMAR BARRETO MEIRA;Juazeiro;BA;2007;18;3;56;0;0;77;708;691;1322
29025125;ESCOLA FONTE CRIATIVA;Juazeiro;BA;2007;11;3;24;1;1;40;17;23;0
29025168;ESCOLA MUNICIPAL JOCA DE SOUZA OLIVEIRA;Juazeiro;BA;2007;3;16;101;0;1;121;231;240;350
29025176;ESCOLA MUNICIPAL JUDITE LEAL COSTA;Juazeiro;BA;2007;3;2;41;1;0;47;99;118;170
29025184;ESCOLA MUNICIPAL LUDGERO DE SOUZA COSTA;Juazeiro;BA;2007;4;6;43;0;0;53;150;146;243
29025206;ESCOLA MUNICIPAL MANDACARU;Juazeiro;BA;2007;29;10;95;0;1;135;292;360;517
29025222;ESCOLA MUNICIPAL JOAO NEVES DE ALMEIDA;Juazeiro;BA;2007;0;2;38;0;0;40;69;65;94
29025230;ESCOLA MUNICIPAL MARIANO RODRIGUES DE SOUZA;Juazeiro;BA;2007;9;4;15;0;0;28;73;77;122
29025311;ESCOLA NOSSA SENHORA DAS GROTAS;Juazeiro;BA;2007;2;0;66;0;0;68;134;111;177
29025320;ESCOLA OFICINA DO SABER;Juazeiro;BA;2007;26;2;42;0;0;70;36;37;3
29025338;ESCOLA MUNICIPAL PAULO RIOS CAMPELO;Juazeiro;BA;2007;4;0;9;0;0;13;74;85;146
29025346;ESCOLA MUNICIPAL PILOTO MANDACARU;Juazeiro;BA;2007;1;1;57;0;0;59;219;203;363
29025354;COLEGIO ESTADUAL POLIVALENTE AMERICO TANURI;Juazeiro;BA;2007;49;35;397;0;0;481;279;239;37
29025362;ESCOLA MUNICIPAL PREFEITO APRIGIO DUARTE;Juazeiro;BA;2007;2;3;134;0;0;139;88;106;55
29025370;ESCOLA MUNICIPAL JOSE PADILHA DE SOUZA;Juazeiro;BA;2007;12;8;50;0;0;70;140;177;247
29025397;ESCOLA MUNICIPAL PROFESSORA TEREZINHA FERREIRA OLIVEIRA;Juazeiro;BA;2007;11;11;214;1;0;237;616;678;1057
29025427;ESCOLA SEMPRE VIVA;Juazeiro;BA;2007;24;4;51;0;1;80;45;55;20
29025435;ESCOLA MUNICIPAL SANTA MARIA GORETTI;Juazeiro;BA;2007;10;8;102;0;0;120;120;128;128
29025460;ESCOLA DO CISNE;Juazeiro;BA;2007;33;8;12;3;0;56;77;77;98
29025478;ESCOLA MUNICIPAL DOUTOR JOSE DE ARAUJO SOUZA;Juazeiro;BA;2007;8;8;222;1;0;239;236;331;328
29025508;ESCOLA LAURA VICUNA;Juazeiro;BA;2007;5;3;53;0;0;61;35;32;6
29025516;ESCOLINHA NOSSO SENHOR DOS AFLITOS;Juazeiro;BA;2007;14;16;209;1;0;240;347;372;479
29025524;ESCOLA MUNICIPAL PROMENOR FUNDAÇAO JUAZEIRENSE;Juazeiro;BA;2007;12;11;134;1;0;158;243;247;332
29025575;ESCOLA MUNICIPAL PROFESSORA HELENA ARAUJO PINHEIRO;Juazeiro;BA;2007;12;6;83;0;0;101;162;209;270
29025583;ESCOLA MUNICIPAL DE JATOBA;Juazeiro;BA;2007;3;3;1;0;0;7;75;80;148
29025664;ESCOLA MUNICIPAL ESTADUAL DE ABOBORA;Juazeiro;BA;2007;2;0;45;0;0;47;19;34;6
29025672;ESCOLA MUNICIPAL MANOEL DE SOUZA BONFIM;Juazeiro;BA;2007;2;2;153;0;0;157;122;129;94
29025699;ESCOLA MUNICIPAL AMERICO TANURY;Juazeiro;BA;2007;0;0;43;0;0;43;53;61;71
29025753;COLEGIO MUNICIPAL 1º E 2º GRAU PROF GRACIOSA XAVIER RAMOS GOMES;Juazeiro;BA;2007;22;10;177;0;0;209;241;310;342
29025770;ESC MUL PROF MATILDE COSTA MEDRADO;Juazeiro;BA;2007;5;0;80;0;0;85;51;78;44
29025788;ESCOLA MUNICIPAL NOSSA SENHORA DAS GROTAS;Juazeiro;BA;2007;1;2;82;0;0;85;39;50;4
29025834;ESCOLA MUNICIPAL PEDRO DIAS;Juazeiro;BA;2007;0;0;68;0;0;68;56;52;40
29025869;ESCOLA MUNICIPAL OSORIO TELES DE MENEZES;Juazeiro;BA;2007;0;1;71;0;0;72;33;49;10
29025885;ESCOLINHA DISNEYLANDIA;Juazeiro;BA;2007;19;4;59;0;0;82;58;56;32
29025907;COLEGIO MUNICIPAL BOM JESUS;Juazeiro;BA;2007;0;0;86;0;0;86;226;214;354
29025923;ESCOLA MUNICIPAL LINDAURA MARIA DE JESUS;Juazeiro;BA;2007;1;0;5;0;0;6;21;32;47
29025931;ESCOLA MUNICIPALL SAO SEBASTIAO;Juazeiro;BA;2007;0;0;11;0;0;11;24;28;41
29025958;ESCOLA MUNICIPAL NOSSA SENHORA RAINHA DOS ANJOS;Juazeiro;BA;2007;0;1;13;0;0;14;33;33;52
29025974;ESCOLA MUNICIPAL CORAÇAO DE JESUS;Juazeiro;BA;2007;0;0;7;0;0;7;53;81;127
29025982;ESCOLA MUNICIPAL SAO FRANCISCO DE ASSIS;Juazeiro;BA;2007;1;1;14;0;0;16;118;122;224
29026024;ESCOLA MUNICIPAL DOUTOR EDSON RIBEIRO;Juazeiro;BA;2007;3;18;33;0;0;54;74;70;90
29026105;ESCOLA MUNICIPAL NOSSA SENHORA DAS GROTAS;Juazeiro;BA;2007;4;21;1;0;0;26;38;53;65
29026113;ESCOLA MUNICIPAL ELISEU SANTOS;Juazeiro;BA;2007;0;2;117;0;0;119;288;298;467
29026130;ESCOLA MUNICIPAL 25 DE JULHO;Juazeiro;BA;2007;0;6;50;0;0;56;76;83;103
29026148;ESCOLA MUNICIPAL AMERICO TANURI;Juazeiro;BA;2007;12;0;9;0;0;21;39;46;64
29026156;ESCOLA MUNICIPAL BOM JESUS;Juazeiro;BA;2007;23;2;5;0;0;30;16;16;2
29026164;ESCOLA MUNICIPAL CORAÇAO DE JESUS;Juazeiro;BA;2007;0;0;19;0;0;19;48;65;94
29026199;ESCOLA MUNICIPAL EURIDICE RIBEIRO VIANA;Juazeiro;BA;2007;2;0;30;0;0;32;79;89;136
29026202;ESCOLA MUNICIPAL FAMILIA UNIDA;Juazeiro;BA;2007;0;0;38;0;0;38;39;29;30
29026261;ESCOLA MUNICIPAL PROFESSORA JOANA RAMOS;Juazeiro;BA;2007;0;0;8;0;0;8;15;10;17
